# X pos [um],Y pos [um],[23Na]+
4122.006452,46663,78.04870239
4170.767742,46663,87.06059417
4219.529032,46663,96.07378467
4268.290323,46663,83.05514862
4317.051613,46663,86.05920874
4365.812903,46663,95.07225491
4414.574194,46663,83.05514862
4463.335484,46663,68.03701213
4512.096774,46663,84.05648596
4560.858065,46663,89.06341315
4609.619355,46663,73.04265691
4658.380645,46663,92.06776187
4707.141935,46663,86.05920874
4755.903226,46663,79.04995957
4804.664516,46663,70.03922196
4853.425806,46663,75.04502702
4902.187097,46663,90.06484669
4950.948387,46663,96.07378467
4999.709677,46663,97.07533046
5048.470968,46663,80.05123279
5097.232258,46663,87.06059417
5145.993548,46663,59.02786115
5194.754839,46663,88.06199564
5243.516129,46663,78.04870239
5292.277419,46663,67.03593126
5341.03871,46663,87.06059417
5389.8,46663,96.07378467
5438.56129,46663,74.04383395
5487.322581,46663,85.05783933
5536.083871,46663,73.04265691
5584.845161,46663,92.06776187
5633.606452,46663,83.05514862
5682.367742,46663,83.05514862
5731.129032,46663,85.05783933
5779.890323,46663,91.06629626
5828.651613,46663,80.05123279
5877.412903,46663,83.05514862
5926.174194,46663,102.0833
5974.935484,46663,74.04383395
6023.696774,46663,88.06199564
6072.458065,46663,88.06199564
6121.219355,46663,92.06776187
6169.980645,46663,74.04383395
6218.741935,46663,69.03810904
6267.503226,46663,81.05252203
6316.264516,46663,92.06776187
6365.025806,46663,89.06341315
6413.787097,46663,90.06484669
6462.548387,46663,83.05514862
6511.309677,46663,75.04502702
6560.070968,46663,80.05123279
6608.832258,46663,93.06924352
6657.593548,46663,82.05382731
6706.354839,46663,99.07847015
6755.116129,46663,77.04746124
6803.877419,46663,79.04995957
6852.63871,46663,91.06629626
6901.4,46663,85.05783933
6950.16129,46663,82.05382731
6998.922581,46663,90.06484669
7047.683871,46663,73.04265691
7096.445161,46663,89.06341315
7145.206452,46663,83.05514862
7193.967742,46663,97.07533046
7242.729032,46663,79.04995957
7291.490323,46663,79.04995957
7340.251613,46663,100.0800641
7389.012903,46663,78.04870239
7437.774194,46663,83.05514862
7486.535484,46663,74.04383395
7535.296774,46663,92.06776187
7584.058065,46663,78.04870239
7632.819355,46663,73.04265691
7681.580645,46663,82.05382731
7730.341935,46663,78.04870239
7779.103226,46663,67.03593126
7827.864516,46663,95.07225491
7876.625806,46663,77.04746124
7925.387097,46663,84.05648596
7974.148387,46663,84.05648596
8022.909677,46663,96.07378467
8071.670968,46663,79.04995957
8120.432258,46663,111.0986556
8169.193548,46663,82.05382731
8217.954839,46663,7758.569636
8266.716129,46663,6148.657218
8315.477419,46663,286.6558686
8364.23871,46663,84.05648596
8413,46663,735.2090287
8461.76129,46663,99.07847015
8510.522581,46663,83.05514862
8559.283871,46663,86.05920874
8608.045161,46663,93.06924352
8656.806452,46663,94.0707412
8705.567742,46663,90.06484669
8754.329032,46663,92.06776187
8803.090323,46663,86.05920874
8851.851613,46663,94.0707412
8900.612903,46663,85.05783933
8949.374194,46663,108.0933927
8998.135484,46663,94.0707412
9046.896774,46663,100.0800641
9095.658065,46663,96.07378467
9144.419355,46663,95.07225491
9193.180645,46663,87.06059417
9241.941935,46663,87.06059417
9290.703226,46663,77.04746124
9339.464516,46663,98.07689228
9388.225806,46663,114.1040629
9436.987097,46663,94.0707412
9485.748387,46663,191.2922946
9534.509677,46663,90.06484669
9583.270968,46663,87.06059417
9632.032258,46663,97.07533046
9680.793548,46663,92.06776187
9729.554839,46663,85.05783933
9778.316129,46663,102.0833
9827.077419,46663,91.06629626
9875.83871,46663,84.05648596
9924.6,46663,86.05920874
9973.36129,46663,88.06199564
10022.12258,46663,81.05252203
10070.88387,46663,87.06059417
10119.64516,46663,83.05514862
10168.40645,46663,89.06341315
10217.16774,46663,99.07847015
10265.92903,46663,91.06629626
10314.69032,46663,76.04623611
10363.45161,46663,80.05123279
10412.2129,46663,82.05382731
10460.97419,46663,79.04995957
10509.73548,46663,119.113396
10558.49677,46663,79.04995957
10607.25806,46663,104.0866001
10656.01935,46663,90.06484669
10704.78065,46663,109.095131
10753.54194,46663,88.06199564
10802.30323,46663,89.06341315
10851.06452,46663,77.04746124
10899.82581,46663,79.04995957
10948.5871,46663,140.1569758
10997.34839,46663,120.1153107
11046.10968,46663,78.04870239
11094.87097,46663,114.1040629
11143.63226,46663,100.0800641
11192.39355,46663,84.05648596
11241.15484,46663,103.084942
11289.91613,46663,98.07689228
11338.67742,46663,95.07225491
11387.43871,46663,96.07378467
11436.2,46663,70.03922196
11484.96129,46663,93.06924352
11533.72258,46663,84.05648596
11582.48387,46663,76.04623611
11631.24516,46663,100.0800641
11680.00645,46663,105.0882742
11728.76774,46663,74.04383395
11777.52903,46663,106.0899643
11826.29032,46663,87.06059417
11875.05161,46663,106.0899643
11923.8129,46663,90.06484669
11972.57419,46663,176.2481574
12021.33548,46663,147.1730755
12070.09677,46663,120.1153107
12118.85806,46663,89.06341315
12167.61935,46663,93.06924352
12216.38065,46663,94.0707412
12265.14194,46663,149.17782
12313.90323,46663,101.081674
12362.66452,46663,71.04035092
12411.42581,46663,85.05783933
12460.1871,46663,142.1614955
12508.94839,46663,90.06484669
12557.70968,46663,88.06199564
12606.47097,46663,80.05123279
12655.23226,46663,84.05648596
12703.99355,46663,78.04870239
12752.75484,46663,94.0707412
12801.51613,46663,111.0986556
12850.27742,46663,75.04502702
12899.03871,46663,95.07225491
12947.8,46663,111.0986556
12996.56129,46663,111.0986556
13045.32258,46663,120.1153107
13094.08387,46663,108.0933927
13142.84516,46663,129.1332655
13191.60645,46663,82.05382731
13240.36774,46663,91.06629626
13289.12903,46663,108.0933927
13337.89032,46663,98.07689228
13386.65161,46663,106.0899643
13435.4129,46663,101.081674
13484.17419,46663,116.107748
13532.93548,46663,258.5336134
13581.69677,46663,149.17782
13630.45806,46663,124.1231301
13679.21935,46663,92.06776187
13727.98065,46663,110.0968853
13776.74194,46663,90.06484669
13825.50323,46663,82.05382731
13874.26452,46663,88.06199564
13923.02581,46663,99.07847015
13971.7871,46663,126.1271362
14020.54839,46663,102.0833
14069.30968,46663,113.1022444
14118.07097,46663,88.06199564
14166.83226,46663,125.1251251
14215.59355,46663,94.0707412
14264.35484,46663,98.07689228
14313.11613,46663,100.0800641
14361.87742,46663,131.137432
14410.63871,46663,95.07225491
14459.4,46663,98.07689228
14508.16129,46663,121.1172415
14556.92258,46663,97.07533046
14605.68387,46663,101.081674
14654.44516,46663,112.100442
14703.20645,46663,86.05920874
14751.96774,46663,113.1022444
14800.72903,46663,111.0986556
14849.49032,46663,149.17782
14898.25161,46663,169.2287973
14947.0129,46663,131.137432
14995.77419,46663,116.107748
15044.53548,46663,101.081674
15093.29677,46663,78.04870239
15142.05806,46663,154.189962
15190.81935,46663,90.06484669
15239.58065,46663,84.05648596
15288.34194,46663,911.5999839
15337.10323,46663,172.2369981
15385.86452,46663,457.6695786
15434.62581,46663,150.1802163
15483.3871,46663,261.5461083
15532.14839,46663,103.084942
15580.90968,46663,95.07225491
15629.67097,46663,101.081674
15678.43226,46663,139.1547401
15727.19355,46663,100.0800641
15775.95484,46663,216.3738941
15824.71613,46663,114.1040629
15873.47742,46663,105.0882742
15922.23871,46663,90.06484669
15971,46663,129.1332655
15971,46663,76.04623611
16019.72892,46663,76.04623611
16068.45783,46663,87.06059417
16117.18675,46663,83.05514862
16165.91566,46663,84.05648596
16214.64458,46663,91.06629626
16263.37349,46663,69.03810904
16312.10241,46663,86.05920874
